id,time,ipa,category,gloss,frequency
hwes,-2000,ˈkʷesjo,,hwes,1
hwes,200,ˈxʷes,,,
mūs,-2000,ˈmuːs,,mūs,1
mūs,200,ˈmuːs,,,
anþaraz,-2000,ˈanteros,,anþaraz,1
anþaraz,200,ˈɑnθ̠ɑrɑz,,,
jūz,-2000,ˈjuː,,jūz,1
jūz,200,ˈjuːz,,,
hulliz,-2000,kl̩ˈχnis,,hulliz,1
hulliz,200,ˈxulliz,,,
immi,-2000,ˈχesmi,,immi,1
immi,200,ˈimmi,,,
wullǭ,-2000,ˈħwl̩χnaːm,,wullǭ,1
wullǭ,200,ˈwullɔ̃ː,,,
sijǭ,-2000,χsiˈeːm,,sijǭ,1
sijǭ,200,ˈsijɔ̃ː,,,
lukanaz,-2000,luˈgnos,,lukanaz,1
lukanaz,200,ˈlukɑnɑz,,,
wīz,-2000,ˈwej,,wīz,1
wīz,200,ˈwiːz,,,
kunją,-2000,gʲn̩ˈʁʷjom,noun,kunją,1
kunją,200,ˈkunjɑ̃,noun,,
dumbaz,-2000,ˈdʱm̩bʱos,adj,dumbaz,1
dumbaz,200,ˈdumbɑz,adj,,
hrainiz,-2000,ˈkrojnis,adj,hrainiz,1
hrainiz,200,ˈxrɑjniz,adj,,
faitaz,-2000,ˈpojħdos,adj,faitaz,1
faitaz,200,ˈɸɑjtɑz,adj,,
wissiz,-2000,ˈwedʱtis,noun,wissiz,1
wissiz,200,ˈwissiz,noun,,
drugą,-2000,ˈdʱrugʱom,noun,drugą,1
drugą,200,ˈdruɣɑ̃,noun,,
sundī,-2000,χsn̩ˈtiħ,noun,sundī,1
sundī,200,ˈsundiː,noun,,
fahaz,-2000,ˈpokʲos,noun,fahaz,1
fahaz,200,ˈɸɑxɑz,noun,,
wīhaz,-2000,ˈwejkos,adj,wīhaz,1
wīhaz,200,ˈwiːxɑz,adj,,
banō,-2000,ˈgʷʱoneħ,noun,banō,1
banō,200,ˈbɑnɔː,noun,,
tēwō,-2000,deːˈkʲweħ,noun,tēwō,1
tēwō,200,ˈtɛːwɔː,noun,,
spēdiz,-2000,speχˈtis,adj,spēdiz,1
spēdiz,200,ˈspɛːð̠iz,adj,,
aldǭ,-2000,ˈχoldʱeħm,noun,aldǭ,1
aldǭ,200,ˈɑldɔ̃ː,noun,,
sunjaz,-2000,χsn̩ˈtjos,adj,sunjaz,1
sunjaz,200,ˈsunjɑz,adj,,
aglaz,-2000,ˈħegʱlos,adj,aglaz,1
aglaz,200,ˈɑɣlɑz,adj,,
ansijō,-2000,ˈħensjeħ,noun,ansijō,1
ansijō,200,ˈɑnsijɔː,noun,,
burstiz,-2000,bʱr̩sˈtis,noun,burstiz,1
burstiz,200,ˈburstiz,noun,,
hagaz,-2000,kʲoˈkos,adj,hagaz,1
hagaz,200,ˈxɑɣɑz,adj,,
stauraz-stake,-2000,steħuˈros,noun,stauraz-stake,1
stauraz-stake,200,ˈstɑwrɑz,noun,,
stauraz-destruction,-2000,ˈtowros,noun,stauraz-destruction,1
stauraz-destruction,200,ˈstɑwrɑz,noun,,
spōlǭ,-2000,ˈspeħtleħm,noun,spōlǭ,1
spōlǭ,200,ˈspɔːlɔ̃ː,noun,,
mēraz,-2000,meˈχros,adj,mēraz,1
mēraz,200,ˈmɛːrɑz,adj,,
þeuhtēr,-2000,tewkˈteːr,noun,þeuhtēr,1
þeuhtēr,200,ˈθ̠ewxtɛːr,noun,,
dūnaz,-2000,dʱuˈħnos,noun,dūnaz,1
dūnaz,200,ˈduːnɑz,noun,,
fruþǭ,-2000,ˈprutχeħm,noun,fruþǭ,1
fruþǭ,200,ˈɸruθ̠ɔ̃ː,noun,,
dragjō,-2000,ˈdʱragʱjeħ,noun,dragjō,1
dragjō,200,ˈdrɑɣjɔː,noun,,
snauþuz,-2000,ˈksnewtus,adj,snauþuz,1
snauþuz,200,ˈsnɑwθ̠uz,adj,,
fadurbanô,-2000,ˈpħtr̩gʷʱonoː,noun,fadurbanô,1
fadurbanô,200,ˈɸɑð̠urˌbɑnɔːː,noun,,
anþą,-2000,ˈħenχtom,noun,anþą,1
anþą,200,ˈɑnθ̠ɑ̃,noun,,
hahtuz,-2000,ˈkokʲtus,noun,hahtuz,1
hahtuz,200,ˈxɑxtuz,noun,,
bardō,-2000,ˈbʱorsdʱos,noun,bardō,1
bardō,200,ˈbɑrð̠ɔː,noun,,
lawwō,-2000,lowˈχeħ,noun,lawwō,1
lawwō,200,ˈlɑwwɔː,noun,,
dain,-2000,ˈdʱowħnis,noun,dain,1
dain,200,ˈdɑwniz,noun,,
skaibaz,-2000,skojˈpos,adj,skaibaz,1
skaibaz,200,ˈskɑjβɑz,adj,,
flunþrą,-2000,ˈpln̩ħtrom,noun,flunþrą,1
flunþrą,200,ˈɸlunθ̠rɑ̃,noun,,
hajaz,-2000,ˈkajos,noun,hajaz,1
hajaz,200,ˈxɑjɑz,noun,,
missaz,-2000,mitħˈtos,adj,missaz,1
missaz,200,ˈmissɑz,adj,,
skaudō,-2000,ˈskowdʱeħ,noun,skaudō,1
skaudō,200,ˈskɑwð̠ɔː,noun,,
wahtaz,-2000,ˈwokʷtos,noun,wahtaz,1
wahtaz,200,ˈwɑxtɑz,noun,,
fraiþaz,-2000,proˈχitos,,fraiþaz,1
fraiþaz,200,ˈɸrɑjθ̠ɑz,,,
sōþiz,-2000,ˈsaħtis,,sōþiz,1
sōþiz,200,ˈsɔːθ̠iz,,,
